#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio
640,298,299,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
641,298,315,-1,-1,1,2657,24620.20508,1,1,3314,9.266166759,7.429150597
642,298,367,-1,-1,-15,3571,22071.17188,1,1,6184,6.180669805,3.569076953
643,299,315,-1,-1,1,2637,24503.04883,1,1,3255,9.292017,7.52781838
644,299,318,-1,-1,-15,3286,25871.78125,1,1,9481,7.873335743,2.728803001
645,299,321,-1,-1,1,2847,18229.14063,1,1,3669,6.402929619,4.968422084
646,299,325,-1,-1,1,2948,18584.16602,1,0,3887,6.303991186,4.781107799
647,299,337,-1,-1,1,3305,26787.7207,1,1,4262,8.1052105,6.285246528
648,299,367,-1,-1,-15,3606,21954.01563,1,1,6125,6.088190689,3.584329082
649,301,304,-1,-1,1,337,8432.589844,1,1,665,25.02252179,12.68058623
650,301,334,-1,-1,-15,2009,21562.23633,1,0,3904,10.73282047,5.523113814
651,302,304,-1,-1,1,301,700,1,1,400,2.325581395,1.75
652,302,308,-1,-1,-15,760,7708.326172,1,1,1831,10.14253444,4.209899602
653,302,319,-1,-1,1,3169,42678.99219,1,1,3745,13.46765295,11.3962596
654,304,308,-1,-1,1,932,6666.904785,1,1,1189,7.153331315,5.607152889
655,304,334,-1,-1,1,1373,12391.77832,1,1,2497,9.025330168,4.962666528
656,306,327,-1,-1,-11,7006,-1,1,1,-1,-1,-1
657,306,335,-1,-1,-11,7323,-1,1,1,-1,-1,-1
658,306,352,-1,-1,1,3280,34929.14063,1,1,3821,10.64912824,9.141361064
659,306,355,-1,-1,1,3144,41835.02734,1,1,3797,13.30630641,11.01791608
660,306,357,-1,-1,-11,7824,-1,0,1,-1,-1,-1
661,307,318,-1,-1,1,1614,16292.99805,1,1,2938,10.09479433,5.545608593
662,307,321,-1,-1,-15,1999,17991.7793,1,1,4104,9.000389843,4.383961817
663,307,326,-1,-1,1,1740,15420.20605,1,0,2289,8.862187388,6.736656206
664,307,338,-1,-1,1,1751,15108.32617,1,1,2189,8.628398728,6.90193064
665,307,367,-1,-1,1,1663,14164.57031,1,1,2072,8.517480645,6.836182583
666,308,319,-1,-1,-15,2941,41247.51953,1,1,6701,14.02499814,6.155427478
667,308,334,-1,-1,1,878,5700.609863,1,1,1365,6.49272194,4.176270962
668,308,339,-1,-1,-15,3394,31053.40625,0,1,5735,9.149500958,5.414717742
669,310,318,-1,-1,1,130,300,1,1,200,2.307692308,1.5
670,310,336,-1,-1,1,122,362.1320496,1,1,241,2.968295488,1.502622612
671,311,312,-1,-1,1,496,965.6854248,1,1,724,1.946946421,1.333819648
672,311,313,-1,-1,-15,1262,19398.38086,1,1,5884,15.37114173,3.296801642
673,311,320,-1,-1,1,407,9413.098633,1,1,524,23.12800647,17.96392869
674,311,362,-1,-1,-15,529,9854.520508,1,1,865,18.62858319,11.39250926
675,312,319,-1,-1,1,1027,7793.50293,1,1,1182,7.588610448,6.593488096
676,312,320,-1,-1,1,756,9958.073242,1,1,1048,13.17205455,9.501978285
677,312,332,-1,-1,1,842,9895.941406,1,1,1007,11.75289953,9.827151347
678,313,314,-1,-1,1,52,200,1,1,200,3.846153846,1
679,313,323,-1,-1,1,526,1189.949463,0,1,665,2.262261336,1.789397689
680,313,324,-1,-1,1,482,1307.106812,1,1,724,2.711839858,1.805396149
681,313,327,-1,-1,1,127,300,1,1,200,2.362204724,1.5
682,313,362,-1,-1,-15,398,6098.275391,1,1,1572,15.32229998,3.879310045
683,314,323,-1,-1,1,285,1410.660156,1,1,765,4.949684759,1.844000204
684,314,324,-1,-1,1,439,1527.817505,1,0,824,3.480222107,1.854147457
685,314,327,-1,-1,1,111,241.4213562,1,1,241,2.174967173,1.001748366
686,315,335,-1,-1,1,844,6652.691406,1,1,1007,7.882335789,6.606446282
687,315,337,-1,-1,1,1657,4038.477539,1,1,2089,2.437222413,1.933210885
688,315,340,-1,-1,-15,1360,7497.666016,0,1,1689,5.512989717,4.439115462
689,317,318,-1,-1,1,155,300,1,1,200,1.935483871,1.5
690,317,326,-1,-1,1,340,707.1068115,1,1,424,2.079725916,1.667704744
691,317,367,-1,-1,1,421,1044.974731,1,1,582,2.482125253,1.795489229
692,318,321,-1,-1,-15,3153,7542.640625,1,1,5711,2.392210791,1.320721524
